Image,F1,Jaccard,Recall,Precision
1988.png,0.6161048689138577,0.44519621109607577,0.744343891402715,0.5255591054313099
949.png,0.8717948717948719,0.7727272727272727,0.8117977528089888,0.9413680781758957
2633.png,0.0,0.0,0.0,0.0
1410.png,0.3489583333333333,0.2113564668769716,0.2113564668769716,1.0
1118.png,0.9361256544502619,0.8799212598425197,0.9696312364425163,0.9048582995951417
1185.png,0.9746738296239448,0.9505988023952096,0.9570459683496609,0.9929632525410477
1726.png,0.9281381241250584,0.8659120592076621,0.9940029985007496,0.8704595185995624
880.png,0.8411910669975187,0.7259100642398287,0.9630681818181818,0.7466960352422908
2951.png,0.9649805447470817,0.9323308270676691,0.9691706469821971,0.9608265174343521
2269.png,0.09493161705551084,0.04983108108108108,0.135632183908046,0.07301980198019802
1555.png,0.902834008097166,0.8228782287822878,0.9977628635346756,0.8243992606284658
2968.png,0.8431460674157304,0.7288267288267288,0.8717472118959108,0.8163620539599652
948.png,0.845096241979835,0.7317460317460317,0.7411575562700965,0.9829424307036247
262.png,0.855595667870036,0.7476340694006309,0.8052095130237825,0.9127086007702182
2090.png,0.7924357034795763,0.656226509646705,0.7673600937591561,0.8192055051610885
2285.png,0.6964006259780907,0.5342136854741897,0.5640050697084917,0.9100204498977505
1262.png,0.6789587852494576,0.5139573070607554,1.0,0.5139573070607554
2098.png,0.05727605727605727,0.029482344874871443,0.09684684684684684,0.04066193853427896
1662.png,0.8987341772151899,0.8160919540229885,1.0,0.8160919540229885
1739.png,0.9634941329856584,0.929559748427673,0.986648865153538,0.9414012738853503
557.png,0.43401015228426393,0.2771474878444084,0.28476269775187346,0.912
2718.png,0.8792229729729728,0.7844762622456669,0.839516129032258,0.9228723404255319
2172.png,0.17017543859649123,0.09300095877277086,0.09300095877277086,1.0
2729.png,0.7915799213509136,0.6550535987748851,0.6814018319394664,0.9442604856512141
361.png,0.9281767955801105,0.865979381443299,0.8713692946058091,0.9929078014184397
2647.png,0.0,0.0,0.0,0.0
2489.png,0.9251025991792065,0.8606426980591791,0.8720180528691167,0.9850691915513474
822.png,0.8638888888888889,0.7603911980440098,0.8885714285714286,0.8405405405405405
2305.png,0.757086472909939,0.609122401847575,0.6202233980011758,0.9714548802946593
2655.png,0.7032464563328762,0.5423131170662906,0.5687869822485208,0.9209580838323354
2957.png,0.8274539877300613,0.7056899934597777,0.7904761904761904,0.8680611423974256
1194.png,0.8867924528301886,0.7966101694915254,0.8057142857142857,0.986013986013986
2198.png,0.8882445967316815,0.7989568515884305,0.8308678500986193,0.9541336353340883
2497.png,0.0,0.0,0.0,0.0
1867.png,0.9110005527915975,0.8365482233502538,0.8451282051282051,0.988009592326139
2345.png,0.8958464443045939,0.8113422627529211,0.9800344234079174,0.8249782671689365
1561.png,0.9142212189616253,0.841995841995842,0.995085995085995,0.8455114822546973
3035.png,0.9274067455885638,0.8646397334443982,0.9202127659574468,0.934714092751013
2789.png,0.6051599587203302,0.4338561704646345,0.4346279276608361,0.9959239130434783
593.png,0.9540000000000001,0.9120458891013384,0.9120458891013384,1.0
2190.png,0.888888888888889,0.8,0.8113511770396646,0.9828125
12.png,0.9784394250513346,0.9577889447236181,0.9911596463858554,0.9660415610745058
580.png,0.9650680876258141,0.9324942791762014,0.9565727699530516,0.973715651135006
2006.png,0.8456883509833586,0.7326343381389253,0.7543859649122807,0.9621342512908778
1902.png,0.8914369358380093,0.804137323943662,0.8185483870967742,0.9785752544188537
2825.png,0.875,0.7777777777777778,0.958656330749354,0.8047722342733189
730.png,0.8673363352961552,0.7657492354740061,0.9773614363778298,0.7795765877957659
3010.png,0.15873015873015872,0.08620689655172414,0.08620689655172414,1.0
1616.png,0.8298755186721991,0.7092198581560284,0.7092198581560284,1.0
1590.png,0.5866666666666667,0.41509433962264153,0.41621621621621624,0.9935483870967742
1087.png,0.0,0.0,0.0,0.0
702.png,0.7831669044222539,0.6436107854630715,0.6535714285714286,0.9768683274021353
2263.png,0.9708006279434851,0.9432580841976815,0.9828353464717101,0.9590570719602978
479.png,0.9033333333333333,0.8237082066869301,0.8713826366559485,0.9377162629757786
2411.png,0.7765237020316027,0.6346863468634686,0.6346863468634686,1.0
